Rank,Corridor Name,Road Type,Number of Links,Total Passenger Count Equivalent,Total DAC-Originating Passenger Count Equivalent,avg_composite,p75_composite,Share of Passenger Count Equivalent Originating from DACs ,pct_dac_pce,pct_dac_share,Corridor Composite DAC Score
1,East Avenue T,secondary,72,52745,50291,66.18553779143964,94.93284161814948,95%,98.73291097032345,93.92019562076248,96.33
2,Martin Luther King Junior Boulevard,secondary,97,40400,38216,77.13033546726047,88.45297660315578,95%,98.28831832833167,93.49783261087029,95.89
3,North Long Beach Boulevard,primary,32,49306,46350,89.08310197173334,93.00015871,94%,98.54395909747694,93.20884739357564,95.88
4,West Manchester Avenue,primary,79,126616,116534,78.84764734723016,92.65810202,92%,99.36645548516172,92.29743248,95.83
5,Agnes Street,tertiary,15,6390,6390,88.31878513494324,90.01394956438935,100%,93.57563632321884,97.98821829498722,95.78
6,Carlin Avenue,tertiary,29,12494,12158,79.48203565131907,89.4770584,97%,96.02089585417362,95.05390685784151,95.54
7,East Rosecrans Avenue,primary,93,74129,67459,84.73695941171657,90.76363423740987,91%,99.02189619,91.99733244414804,95.51
8,Roseton Avenue,residential,17,12125,11760,73.46344738,95.35780215,97%,95.94309214182505,94.85384017,95.40
9,West Century Boulevard,secondary,42,52708,48100,87.17960153648067,92.69652597375476,91%,98.66622207402467,92.10848060464599,95.39
10,East Artesia Boulevard,primary,58,16887,16088,75.45691088149553,85.62777216268367,95%,96.68778481716127,93.86462154051351,95.28
11,West Century Boulevard,primary,109,160572,141796,77.45857719654295,92.85502476674156,88%,99.47760364565966,91.01922863176614,95.25
12,South Mona Boulevard,tertiary,46,9638,9427,72.11354150058962,86.64313547783524,98%,95.17616983438924,95.29843281093699,95.24
13,Loveland Street,residential,24,10861,10477,79.49955241667153,91.40535596448292,96%,95.54295876403246,94.66488829609871,95.10
14,Carlin Avenue,residential,16,9687,9397,81.59396221923369,93.02078025677221,97%,95.16505501833944,94.87606980104479,95.02
15,South Central Avenue,primary,370,271019,233739,80.34421718426496,88.72445016163118,86%,99.75547404690452,90.23007669223074,94.99
16,West 98th Street,tertiary,40,12937,12330,78.25699357651796,90.15093929851233,95%,96.06535511837279,93.89796598866289,94.98
17,East Alondra Boulevard,secondary,86,52324,46518,80.86881154412411,90.80665235513754,89%,98.57730354562632,91.33044348116039,94.95
18,Rex Road,tertiary,21,9249,8967,73.93183607,92.96632892571648,97%,94.95387351339335,94.80938090474602,94.88
19,South Gibson Avenue,tertiary,21,7229,7119,70.98033179040888,93.49152584845928,98%,94.04245859731022,95.63187729243081,94.84
20,East 68th Street,tertiary,37,13348,12636,74.84356125,87.40091215115649,95%,96.10981438257197,93.56452150716905,94.84
